gameID,teamID,season,goals,goals_percent,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
139,74,2015,2,183.66,15,8,6,5,2,0,L
139,89,2015,3,165.12,10,3,13,5,0,0,W
140,87,2015,1,190.45,23,7,4,6,1,0,D
140,79,2015,1,55.63,7,2,13,2,2,0,D
141,82,2015,4,230.8,15,8,17,5,5,0,W
141,88,2015,1,157.84,22,8,6,9,1,0,L
142,74,2015,3,155.42,17,6,18,4,3,0,W
142,84,2015,1,141.96,11,4,14,3,1,0,L
143,85,2015,2,194.48,8,5,13,3,1,0,W
143,73,2015,1,87.17,12,6,11,7,0,0,L
144,75,2015,2,138.52,16,7,9,6,1,0,L
144,83,2015,5,389.62,27,12,12,5,1,0,W
145,87,2015,3,178.33,21,12,8,11,0,0,W
145,71,2015,2,89.21,10,4,13,1,0,0,L
146,89,2015,3,289.71,12,7,12,5,0,0,W
146,77,2015,0,83.21,9,4,17,2,3,0,L
147,81,2015,2,260.41,19,7,7,7,0,0,D
147,79,2015,2,138.6,16,7,17,5,0,0,D
148,86,2015,2,70.21,11,5,12,4,1,0,D
148,80,2015,2,130.59,16,4,15,6,2,0,D
149,90,2015,0,68.59,15,2,17,6,4,0,L
149,78,2015,1,233.57,16,3,22,4,4,0,W
150,76,2015,2,127.51,9,4,9,6,0,0,L
150,72,2015,3,230.16,12,4,8,4,3,0,W
151,78,2015,2,199.08,21,8,14,8,3,0,W
151,76,2015,0,25.55,7,2,13,3,3,0,L
152,71,2015,0,83.9,13,2,12,9,1,0,L
152,85,2015,1,103.5,12,5,12,5,0,0,W
153,73,2015,1,150.27,12,6,8,5,1,0,D
153,90,2015,1,91.33,11,2,13,3,1,0,D
154,88,2015,6,333.46,23,11,13,6,3,0,W
154,86,2015,1,98.03,6,4,8,3,1,0,L
155,79,2015,1,118.07,17,2,4,16,0,0,L
155,75,2015,2,300.28,16,5,4,8,1,0,W
156,77,2015,2,108.4,12,3,14,1,2,1,D
156,81,2015,2,193.66,20,6,11,8,4,0,D
157,80,2015,1,52.02,10,3,14,4,2,0,L
157,74,2015,3,158.25,13,5,14,6,5,0,W
158,72,2015,1,120.06,14,4,10,5,3,0,D
158,87,2015,1,130.84,13,4,19,11,3,0,D
159,84,2015,2,77.48,11,2,8,5,1,0,D
159,82,2015,2,118.14,19,11,19,6,4,0,D
160,83,2015,3,216.95,12,5,8,3,1,0,W
160,89,2015,0,103.95,9,5,17,6,3,0,L
161,82,2015,0,58.62,13,4,15,8,1,0,D
161,87,2015,0,71.59,12,3,11,6,2,0,D
162,74,2015,2,146.67,13,6,16,6,2,0,D
162,75,2015,2,278.65,27,7,10,7,0,0,D
163,76,2015,1,207.78,9,2,12,1,2,0,W
163,77,2015,0,65.85,9,2,13,5,2,0,L
164,80,2015,2,122.88,9,3,22,4,1,0,W
164,71,2015,0,79.58,10,1,17,4,3,0,L
165,78,2015,1,108.39,6,1,9,1,1,1,L
165,81,2015,3,276.36,24,4,11,9,3,0,W
166,72,2015,0,65.35,12,3,12,5,2,0,L
166,89,2015,3,147.85,10,7,14,3,2,0,W
167,88,2015,5,471.27,16,11,11,1,2,0,W
167,73,2015,1,17.3,5,1,5,7,1,0,L
168,90,2015,0,25.48,8,1,11,3,2,0,L
168,83,2015,3,269.05,17,6,12,9,1,0,W
169,86,2015,6,224.9,11,6,10,3,1,0,W
169,79,2015,2,134.4,18,6,10,7,1,0,L
170,84,2015,0,48.55,14,2,6,1,2,0,L
170,85,2015,1,164.89,9,2,14,2,2,0,W
171,71,2015,1,109.52,9,3,10,4,2,0,L
171,84,2015,2,174.35,10,4,8,6,3,0,W
172,75,2015,1,133.5,12,3,7,3,3,0,W
172,78,2015,0,24,9,4,11,2,1,0,L
173,81,2015,2,77.28,12,5,10,7,1,0,W
173,80,2015,1,113.56,9,4,12,4,5,1,L
174,79,2015,0,103.23,16,3,11,13,1,0,L
174,76,2015,1,145.44,7,4,6,3,2,0,W
175,85,2015,0,84.84,11,0,10,11,3,0,L
